year,city,country,city_temp,city_7_MA,global_temp,global_7_MA
1987,Lima,Peru,18.01,17.30857143,8.99,8.858571429
1988,Lima,Peru,16.58,17.29,9.2,8.862857143
1989,Lima,Peru,16.66,17.21142857,8.92,8.902857143
1990,Lima,Peru,16.84,16.93714286,9.23,8.931428571
1991,Lima,Peru,17.15,16.95571429,9.18,9.001428571
1992,Lima,Peru,17.96,17.13857143,8.84,9.027142857
1993,Lima,Peru,17.56,17.25142857,8.87,9.032857143
1994,Lima,Peru,17.31,17.15142857,9.04,9.04
1995,Lima,Peru,17.26,17.24857143,9.35,9.061428571
1996,Lima,Peru,16.45,17.21857143,9.04,9.078571429
1997,Lima,Peru,18.62,17.47285714,9.2,9.074285714
1998,Lima,Peru,18.13,17.61285714,9.52,9.122857143
1999,Lima,Peru,16.65,17.42571429,9.29,9.187142857
2000,Lima,Peru,17.02,17.34857143,9.2,9.234285714
2001,Lima,Peru,16.95,17.29714286,9.41,9.287142857
2002,Lima,Peru,17.44,17.32285714,9.57,9.318571429
2003,Lima,Peru,17.36,17.45285714,9.53,9.388571429
2004,Lima,Peru,17.29,17.26285714,9.32,9.405714286
2005,Lima,Peru,17.02,17.10428571,9.7,9.431428571
2006,Lima,Peru,17.61,17.24142857,9.53,9.465714286
2007,Lima,Peru,16.68,17.19285714,9.73,9.541428571
2008,Lima,Peru,17.34,17.24857143,9.43,9.544285714
2009,Lima,Peru,17.4,17.24285714,9.51,9.535714286
2010,Lima,Peru,16.97,17.18714286,9.7,9.56
2011,Lima,Peru,17.03,17.15,9.52,9.588571429
2012,Lima,Peru,17.68,17.24428571,9.51,9.561428571
2013,Lima,Peru,17,17.15714286,9.61,9.572857143
